,,,,,,,,,RUSHING,,,MISC,,,,,
Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Kyle Allen (DET),0,0,0,0,0,0,0,0,13,-13,0,0,6,-1.3,-0.2,1.10%
2,Nathan Peterman (FA),0,0,0,0,0,0,0,1,2,-4,0,0,1,-0.4,-0.4,0.00%
3,Matt Barkley (FA),0,0,0,0,0,0,0,0,3,-3,0,0,1,-0.3,-0.3,0.00%
4,Teddy Bridgewater (TB),0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.80%
5,Kyle Trask (TB),0,1,0,0,0,0,0,0,1,-1,0,0,2,-0.1,-0.1,0.60%
6,Jacob Eason (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
7,Chris Oladokun (KC),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
8,Skylar Thompson (PIT),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.80%
9,Max Duggan (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10%
10,Aaron Rodgers (PIT),0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,18.30%
11,Malik Cunningham (BAL),0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1.10%
12,Logan Woodside (PIT),3,4,75,27,6.8,0,1,1,1,6,0,0,1,0.7,0.7,0.00%
13,AJ McCarron (FA),4,5,80,19,3.8,0,0,1,0,0,0,0,2,0.8,0.4,1.00%
14,Sean Clifford (GB),1,1,100,37,37,0,0,0,3,-2,0,0,2,1.3,0.7,1.80%
15,Jaren Hall (FA),13,20,65,168,8.4,0,1,4,6,14,0,2,3,3.1,1,1.20%
16,Mike White (BUF),5,6,83.3,74,12.3,1,1,0,8,-9,0,1,6,3.1,0.5,1.10%
17,Malik Willis (GB),4,5,80,74,14.8,0,0,4,5,21,0,1,2,3.1,1.6,2.30%
18,Cooper Rush (BAL),18,24,75,144,6,0,1,1,12,-5,0,0,8,4.2,0.5,1.00%
19,Brett Rypien (MIN),18,38,47.4,172,4.5,0,1,2,3,19,0,1,2,5.8,2.9,0.00%
20,Brian Hoyer (FA),23,42,54.8,231,5.5,0,2,1,3,-3,0,0,2,7,3.5,0.00%
21,Blaine Gabbert (FA),18,35,51.4,185,5.3,0,3,1,7,45,0,0,2,8.9,4.5,1.10%
22,Clayton Tune (ARI),12,21,57.1,62,3,0,2,7,8,30,1,1,8,9.5,1.2,1.00%
23,Marcus Mariota (WAS),15,23,65.2,164,7.1,1,1,3,8,52,0,1,2,12.7,6.4,1.60%
24,Case Keenum (CHI),34,53,64.2,291,5.5,1,3,6,2,1,0,0,2,12.8,6.4,0.60%
25,Jameis Winston (NYG),25,47,53.2,264,5.6,2,3,2,5,-6,0,0,6,14.9,2.5,3.60%
26,Tim Boyle (FA),48,77,62.3,360,4.7,1,4,9,4,5,0,0,3,14.9,5,0.00%
27,Jeff Driskel (FA),13,26,50,166,6.4,2,2,3,7,33,0,0,1,15.9,15.9,0.00%
28,Davis Mills (HOU),18,39,46.2,173,4.4,2,0,2,2,9,0,0,6,17.9,3,0.60%
29,C.J. Beathard (FA),40,53,75.5,349,6.6,1,0,6,8,35,0,0,7,21.5,3.1,0.00%
30,Jacoby Brissett (ARI),18,23,78.3,224,9.7,3,0,0,3,19,0,0,2,22.9,11.5,1.00%
31,Andy Dalton (CAR),34,58,58.6,361,6.2,2,0,3,3,12,0,0,3,23.6,7.9,0.80%
32,Sam Darnold (SEA),28,46,60.9,297,6.5,2,1,6,21,15,1,1,10,24.3,2.4,21.40%
33,P.J. Walker (FA),54,111,48.6,674,6.1,1,5,11,13,30,0,2,5,24.9,5,0.00%